Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto;Valor m2;Tipo Agrupado
Departamento;Jesús María;1;0;0;30;1100.0;385.0;21.0;36.67;Departamento
Casa en condominio;Callao;5;3;2;430;4000.0;950.0;250.0;9.3;Casa
Departamento;Chorrillos;1;1;0;44;1799.0;440.0;20.0;40.89;Departamento
Departamento;Barranco;3;2;1;120;2800.0;1600.0;170.0;23.33;Departamento
Departamento;Callao;3;1;1;75;4000.0;1250.0;309.0;53.33;Departamento
Departamento;Lince;4;3;2;190;6000.0;1600.0;407.0;31.58;Departamento
Departamento;Lince;2;1;1;66;2000.0;780.0;187.0;30.3;Departamento
Departamento;Lince;4;2;1;160;3800.0;1800.0;600.0;23.75;Departamento
Departamento;Miraflores;2;3;2;214;20000.0;3500.0;12000.0;93.46;Departamento
Departamento;Lince;3;1;1;125;5500.0;1710.0;200.0;44.0;Departamento
Departamento;Chorrillos;2;0;0;72;2300.0;580.0;1200.0;31.94;Departamento
Departamento;San Borja;3;2;1;167;1250000.0;1186.0;320.0;7485.03;Departamento
Departamento;Chorrillos;2;0;0;72;2250.0;671.0;132.0;31.25;Departamento
Habitación;Cieneguilla;1;0;0;20;850.0;390.0;24.0;42.5;Departamento
Departamento;Lince;2;2;1;87;3100.0;1550.0;543.0;35.63;Departamento
Departamento;Lince;3;2;1;115;2700.0;1683.0;262.0;23.48;Departamento
Departamento;Lince;4;3;2;233;7000.0;4100.0;6500.0;30.04;Departamento
Casa;Mi Perú;3;1;1;100;1500.0;0.0;0.0;15.0;Casa
Departamento;San Borja;2;1;1;76;1600.0;559.0;135.0;21.05;Departamento
Departamento;Chorrillos;2;0;0;71;2400.0;577.0;0.0;33.8;Departamento
Departamento;Villa El Salvador;3;1;1;84;3300.0;1320.0;1474.0;39.29;Departamento
Departamento;Lince;3;1;1;72;2100.0;660.0;110.0;29.17;Departamento
Departamento;Lince;2;1;0;62;2300.0;1100.0;179.0;37.1;Departamento
Departamento;Villa María del Triunfo;2;1;1;105;5800.0;1353.0;281.0;55.24;Departamento
Habitación;Ancón;1;0;0;28;1100.0;480.0;25.0;39.29;Departamento
Departamento;La Victoria;3;0;1;100;2250.0;420.0;50.0;22.5;Departamento
Casa;El Agustino;6;2;0;400;10000.0;0.0;370.0;25.0;Casa
Habitación;San Juan de Lurigancho;0;0;0;37;1100.0;676.0;0.0;29.73;Departamento
Departamento;Jesús María;2;1;1;80;1500.0;538.0;96.0;18.75;Departamento
Departamento;Barranco;3;0;0;90;1650.0;1000.0;172.0;18.33;Departamento
Departamento;San Juan de Lurigancho;1;0;0;37;1300.0;360.0;24.0;35.14;Departamento
Departamento;San Borja;2;1;1;66;1700.0;861.0;0.0;25.76;Departamento
Departamento;Lince;3;2;1;170;3300.0;14784.0;557.0;19.41;Departamento
Casa;Carabayllo;6;2;2;260;18000.0;0.0;0.0;69.23;Casa
Departamento;Lince;3;3;3;175;12000.0;2000.0;300.0;68.57;Departamento
Departamento;Villa María del Triunfo;2;1;1;64;3350.0;920.0;150.0;52.34;Departamento
Departamento;Villa María del Triunfo;2;1;1;80;4300.0;1379.0;187.0;53.75;Departamento
Departamento;Pucusana;3;0;0;110;1500.0;420.0;268.0;13.64;Departamento
Departamento;San Borja;2;1;1;71;2000.0;550.0;0.0;28.17;Departamento
Departamento;Chaclacayo;2;1;1;70;1550.0;360.0;27.0;22.14;Departamento
Departamento;Miraflores;3;2;1;200;15000.0;1900.0;520.0;75.0;Departamento
Departamento;Ancón;2;0;0;98;2200.0;809.0;0.0;22.45;Departamento
Departamento;Breña;1;0;0;33;1700.0;731.0;61.0;51.52;Departamento
Departamento;Santa Rosa;1;0;0;33;1400.0;561.0;29.0;42.42;Departamento
Departamento;Miraflores;2;1;1;100;6000.0;4500.0;443.0;60.0;Departamento
Departamento;Santa Rosa;4;2;4;410;25000.0;2200.0;1350.0;60.98;Departamento
Departamento;Ate;2;1;1;115;3500.0;1380.0;0.0;30.43;Departamento
Departamento;San Borja;3;2;1;90;2100.0;620.0;170.0;23.33;Departamento
Departamento;Ate;3;1;0;90;4690.0;926.0;254.0;52.11;Departamento
Departamento;Punta Negra;2;1;0;86;1900.0;559.0;0.0;22.09;Departamento
Departamento;Lince;4;4;4;170;5900.0;918.0;6487.0;34.71;Departamento
Departamento;Lince;4;2;2;170;7500.0;1946.0;998.0;44.12;Departamento
Departamento;Punta Hermosa;3;0;0;59;1050.0;230.0;25.0;17.8;Departamento
Departamento;Punta Hermosa;2;1;0;65;1000.0;300.0;13.0;15.38;Departamento
Departamento;El Agustino;2;0;0;57;1640.0;540.0;51.0;28.77;Departamento
Habitación;Ate;1;0;0;20;1800.0;672.0;58.0;90.0;Departamento
Departamento;Santa Rosa;3;2;1;140;3900.0;1650.0;290.0;27.86;Departamento
Departamento;Cieneguilla;0;0;0;48;2000.0;349.0;0.0;41.67;Departamento
Departamento;Santa Rosa;3;1;1;200;6200.0;1800.0;420.0;31.0;Departamento
Departamento;Miraflores;4;2;1;150;7500.0;2000.0;4900.0;50.0;Departamento
Departamento;Barranco;4;3;2;130;2600.0;1100.0;240.0;20.0;Departamento
Departamento;Jesús María;1;1;1;50;800.0;180.0;0.0;16.0;Departamento
Departamento;Villa El Salvador;1;0;0;45;3000.0;743.0;57.0;66.67;Departamento
Departamento;San Borja;2;2;1;71;1800.0;658.0;0.0;25.35;Departamento
Habitación;Cieneguilla;1;0;0;34;750.0;470.0;0.0;22.06;Departamento
Departamento;Miraflores;3;1;1;169;1800.0;1000.0;300.0;10.65;Departamento
Departamento;Miraflores;4;1;2;210;7000.0;2900.0;717.0;33.33;Departamento
Departamento;Ancón;2;1;0;80;2000.0;450.0;0.0;25.0;Departamento
Casa en condominio;Lince;4;4;4;315;15000.0;1200.0;850.0;47.62;Casa
Departamento;Santa Rosa;3;0;0;100;2500.0;900.0;209.0;25.0;Departamento
Habitación;Santa Rosa;1;1;0;30;1300.0;300.0;100.0;43.33;Departamento
Departamento;La Punta;2;0;0;50;900.0;200.0;0.0;18.0;Departamento
Departamento;Cieneguilla;1;0;0;25;850.0;223.0;24.0;34.0;Departamento
Departamento;Magdalena del Mar;3;1;1;98;1900.0;1000.0;139.0;19.39;Departamento
Departamento;San Borja;1;1;1;52;1400.0;511.0;0.0;26.92;Departamento
Departamento;Lince;3;2;1;350;7000.0;2700.0;600.0;20.0;Departamento
Departamento;Barranco;2;0;0;65;1800.0;360.0;202.0;27.69;Departamento
Casa;Breña;1;0;0;65;650.0;0.0;0.0;10.0;Casa
Casa en condominio;Lince;5;3;5;820;25000.0;2500.0;1500.0;30.49;Casa
Departamento;La Punta;2;1;0;48;1000.0;250.0;0.0;20.83;Departamento
Casa en condominio;Villa María del Triunfo;5;0;0;600;18000.0;0.0;2300.0;30.0;Casa
